CurrencyCode,CurrencyName,CurrencyCnName
AED,United Arab Emirates Dirham,阿拉伯聯合大公國迪拉姆
ARS,Argentine Peso,阿根廷披索
AUD,Australian Dollar,澳幣
BGN,Bulgarian Lev,保加利亞列弗
BND,Brunei Dollar,汶萊元
BOB,Bolivian Boliviano,玻利維亞幣
BRL,Brazilian Real,巴西雷亞爾
CAD,Canadian Dollar,加幣
CHF,Swiss Franc,瑞士法郎
CLP,Chilean Peso,智利披索
CNY,Chinese Yuan Renminbi,中國人民幣
COP,Colombian Peso,哥倫比亞披索
CZK,Czech Republic Koruna,捷克克郎
DKK,Danish Krone,丹麥克朗
EGP,Egyptian Pound,埃及鎊
EUR,Euro,歐元
FJD,Fijian Dollar,斐濟元
GBP,British Pound Sterling,英鎊
HKD,Hong Kong Dollar,港幣
HRK,Croatian Kuna,克羅埃西亞克朗
HUF,Hungarian Forint,匈牙利福林
IDR,Indonesian Rupiah,印尼盧比
ILS,Israeli New Sheqel,以色列新舍克
INR,Indian Rupee,印度盧比
JPY,Japanese Yen,日圓
KES,Kenyan Shilling,肯亞先令
KRW,South Korean Won,韓元
LTL,Lithuanian Litas,立陶宛利塔斯
MAD,Moroccan Dirham,摩洛哥迪拉姆
MXN,Mexican Peso,墨西哥披索
MYR,Malaysian Ringgit,馬來西亞林吉特
NOK,Norwegian Krone,挪威克朗
NZD,New Zealand Dollar,紐西蘭幣
PEN,Peruvian Nuevo Sol,祕魯幣
PHP,Philippine Peso,菲律賓披索
PKR,Pakistani Rupee,巴基斯坦盧比
PLN,Polish Zloty,波蘭茲羅提
RON,Romanian Leu,羅馬尼亞列伊
RSD,Serbian Dinar,塞爾維亞第納爾
RUB,Russian Ruble,俄羅斯盧布
SAR,Saudi Riyal,沙烏地阿拉伯里亞爾
SEK,Swedish Krona,瑞典克朗
SGD,Singapore Dollar,新加坡幣
THB,Thai Baht,泰銖
TRY,Turkish Lira,土耳其里拉
TWD,New Taiwan Dollar,新臺幣
UAH,Ukrainian Hryvnia,烏克蘭赫里納
USD,US Dollar,美元
VEF,Venezuelan Bol穩簫var Fuerte,委內瑞拉銀幣
VND,Vietnamese Dong,越南盾
ZAR,South African Ran,南非蘭特
